,tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
661,1238402597901524992,World Health Organization (WHO),WHO,262,"""Often in epidemics, it’s women who are the most affected because they are the ones who take care of the sick either at home or in hospitals. Women are very important in the management of epidemics as they can offer a different perspective.""
- @SCBriand
#COVID19 https://t.co/rN3QQcdzFU",2020-03-29 19:11:22.239816,2020-03-13 09:52:42.000000,653,"[{'text': 'COVID19', 'indices': [254, 262]}]",49323,,Twitter Web App,None,None,None
662,1238400057449353216,World Health Organization (WHO),WHO,67,"9⃣ During a Pap smear, your👩‍⚕️👨‍⚕️ uses a speculum to widen the vaginal canal, takes cells from the cervix &amp; examines those cells for changes that may lead to #CervicalCancer. Screening should start at 30 years of age, if the test is negative you should retake it every 3 to 5 years. https://t.co/mUTecTz957",2020-03-29 19:11:22.239826,2020-03-13 09:42:36.000000,229,"[{'text': 'CervicalCancer', 'indices': [164, 179]}]",49323,,Twitter Web App,None,None,None
663,1238393990262804480,World Health Organization (WHO),WHO,1218,"""During the #COVID19 outbreak, it's an opportunity for a spotlight on the role of women at home that often goes unrecognized, unappreciated &amp; not reimbursed, and also women in the work settings who are at the frontlines. It’s women who are carrying this burden.""
- @doctorsoumya https://t.co/1T6EAskhe5",2020-03-29 19:11:22.239830,2020-03-13 09:18:30.000000,2658,"[{'text': 'COVID19', 'indices': [12, 20]}]",49323,,Twitter Web App,None,None,None
664,1238392739714170880,World Health Organization (WHO),WHO,43,"8⃣ If you are at risk for heart disease or stroke, discuss with your 👨‍⚕️👩‍⚕️ regarding the frequency of this blood test. For adults aged 40 years or older, and for those with conditions like obesity or diabetes it is preferable to have the lipid profile test.
https://t.co/6XCyssr8PG https://t.co/2kR0EM3Dx4",2020-03-29 19:11:22.239834,2020-03-13 09:13:32.000000,134,[],49323,,Twitter Web App,None,None,None
665,1238387649402023936,World Health Organization (WHO),WHO,72,"7⃣ Poor dental health doesn’t just affect your teeth. Tooth and gum infections can negatively impact your well-being so it’s important to look after your teeth. Brush regularly, avoid smoking &amp; sugary foods and make a trip to the dentist every 6 months to keep your mouth healthy. https://t.co/8wCgsKIOIx",2020-03-29 19:11:22.239838,2020-03-13 08:53:18.000000,243,[],49323,,Twitter Web App,None,None,None
667,1238362348227833856,World Health Organization (WHO),WHO,101,"6⃣ Colorectal #cancer is the 2nd most common cancer among 👩🧕. It is important to be aware of common symptoms such as change in bowel habits, blood in the stool or unexplained weight loss. If available in your country, participating in colorectal cancer screening is recommended. https://t.co/TIe1frQgDp",2020-03-29 19:11:22.239845,2020-03-13 07:12:46.000000,273,"[{'text': 'cancer', 'indices': [14, 21]}]",49323,,Twitter Web App,None,None,None
674,1238220131161051140,World Health Organization (WHO),WHO,121,"5⃣ Early detection of #breastcancer can save lives. Common symptoms include:

🔴 lumps
🔴 asymmetry
🔴 skin or nipple retraction
🔴 bloody discharge.

If available in your country, participating in a breast cancer screening, done by mammography, can be beneficial. https://t.co/NDAY59Bu2k",2020-03-29 19:11:22.239881,2020-03-12 21:47:38.000000,298,"[{'text': 'breastcancer', 'indices': [22, 35]}]",49323,,Twitter Web App,None,None,None
675,1238213778841493505,World Health Organization (WHO),WHO,44,"4⃣ Women should start getting screened for osteoporosis at age 65 but those with risk factors for osteoporosis, such as fractures or low body weight, should be screened earlier.
https://t.co/6XCyssr8PG https://t.co/qM587gZ91z",2020-03-29 19:11:22.239884,2020-03-12 21:22:24.000000,194,[],49323,,Twitter Web App,None,None,None
678,1238199561669222400,World Health Organization (WHO),WHO,44,"3⃣ Your body mass index (BMI) is a measure for obesity. Your BMI indicates whether or not you are overweight or obese, a condition that raises your risk of serious health problems like diabetes, heart disease and some cancers.
https://t.co/6XCyssr8PG https://t.co/dydeuRLfQx",2020-03-29 19:11:22.239895,2020-03-12 20:25:54.000000,155,[],49323,,Twitter Web App,None,None,None
679,1238167095281672194,World Health Organization (WHO),WHO,57,"2⃣ Women who are overweight or obese, are of ethnicity that is at higher risk, or have a family history of diabetes or history of gestational diabetes, need to have their blood glucose checked periodically and get medical advice.
https://t.co/6XCyssr8PG https://t.co/0IGy0EqlLe",2020-03-29 19:11:22.239898,2020-03-12 18:16:54.000000,178,[],49323,,Twitter Web App,None,None,None
683,1238160029867483137,World Health Organization (WHO),WHO,73,"1⃣ Elevated blood pressure ⬆️ the risk of heart attack, stroke &amp; kidney disease. All adult women should know their blood pressure. At older ages, and for those with conditions like obesity that put them at increased risk for hypertension, annual screening is recommended. https://t.co/hwWMRZCHAH",2020-03-29 19:11:22.239913,2020-03-12 17:48:49.000000,232,[],49323,,Twitter Web App,None,None,None
684,1238146848831025152,World Health Organization (WHO),WHO,264,"Take a look at the top check-ups for women and make an appointment to see your health care provider if you have something that has been bothering you. If you have any health concerns, it’s always best to discuss these with your healthcare provider first ➡️ https://t.co/6XCyssr8PG https://t.co/uesR3fQj8q",2020-03-29 19:11:22.239917,2020-03-12 16:56:27.000000,1087,[],49323,,Twitter Web App,None,None,None
685,1238139539228692482,World Health Organization (WHO),WHO,503,"Q: Is wearing rubber gloves while out in the public effective in preventing the new coronavirus infection?

👉🏽https://t.co/94zZioMvuA… 

#KnowtheFacts #COVID19 https://t.co/ifrQ8w4jE5",2020-03-29 19:11:22.239920,2020-03-12 16:27:24.000000,695,"[{'text': 'KnowtheFacts', 'indices': [137, 150]}, {'text': 'COVID19', 'indices': [151, 159]}]",49323,,Twitter Web App,None,None,None
692,1238107100724822018,World Health Organization (WHO),WHO,282,"This is how you can take care of your kidneys:
⚖️ Maintain a healthy body weight
🥗 Eat healthy
🏃🏽‍♀️ Be active
💧 Drink water
🚭 Don't smoke
❤️ Control your blood pressure
💊 Don't self-medicate
#WorldKidneyDay https://t.co/tmTsSDfLMP",2020-03-29 19:11:22.239943,2020-03-12 14:18:30.000000,504,"[{'text': 'WorldKidneyDay', 'indices': [192, 207]}]",49323,,Twitter Web App,None,None,None
693,1238051653686788096,World Health Organization (WHO),WHO,303,"You can lower your risk of kidney disease by:
☑️ Being physically active
☑️ Eating a healthy diet
☑️ Having your blood pressure under control
☑️ Controlling your diabetes
#WorldKidneyDay https://t.co/Zkcr4XkP1d",2020-03-29 19:11:22.239946,2020-03-12 10:38:10.000000,707,"[{'text': 'WorldKidneyDay', 'indices': [171, 186]}]",49323,,Twitter Web App,None,None,None
694,1238031366152949761,World Health Organization (WHO),WHO,1020,"Today is #WorldKidneyDay.
Your kidneys are constantly working to filter out waste from your blood, but certain diseases can prevent them functioning effectively.
🔴 Diabetes
🔴 Hypertension
🔴 Obesity
are all major risk factors for kidney disease. https://t.co/9cUwMlWcmv",2020-03-29 19:11:22.239949,2020-03-12 09:17:33.000000,2087,"[{'text': 'WorldKidneyDay', 'indices': [9, 24]}]",49323,,Twitter Web App,None,None,None
695,1238016037548896256,World Health Organization (WHO),WHO,1799,"“We must push countries, all of us to fight as hard as they can to suppress this coronavirus. By doing so, you are saving lives. By doing so you’re buying more time for your hospitals to prepare. So do everything you can to be as aggressive as you can ...” - Dr @mvankerkhove https://t.co/PDLqvVkr4C",2020-03-29 19:11:22.239952,2020-03-12 08:16:39.000000,2927,[],49323,,Twitter for iPhone,None,None,None
727,1237788360770498561,World Health Organization (WHO),WHO,1608,"WHO interim guidance on critical preparedness, readiness and response actions for #COVID19 

More https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/H2hxC9cE66",2020-03-29 19:11:22.240056,2020-03-11 17:11:56.000000,2341,"[{'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [123, 135]}]",49323,,Twitter for iPhone,None,None,None
728,1237784880307679237,World Health Organization (WHO),WHO,979,The full briefing on #COVID19 by @DrTedros 👉 https://t.co/dRwxvdxILJ https://t.co/n3KVBggZXD,2020-03-29 19:11:22.240059,2020-03-11 16:58:07.000000,1629,"[{'text': 'COVID19', 'indices': [21, 29]}]",49323,,Twitter Web App,None,None,None
729,1237779912263700486,World Health Organization (WHO),WHO,1417,"""We’re in this together, to do the right things with calm and protect the citizens of the world. It’s doable""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240063,2020-03-11 16:38:22.000000,2933,"[{'text': 'COVID19', 'indices': [120, 128]}, {'text': 'coronavirus', 'indices': [129, 141]}]",49323,,Twitter Web App,None,None,None
730,1237779762728271872,World Health Organization (WHO),WHO,2873,"""There’s been so much attention on one word. 

Let me give you some other words that matter much more, &amp; that are much more actionable:

Prevention.

Preparedness.

Public health.

Political leadership.

And most of all, People""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240066,2020-03-11 16:37:46.000000,4588,"[{'text': 'COVID19', 'indices': [243, 251]}, {'text': 'coronavirus', 'indices': [252, 264]}]",49323,,Twitter Web App,None,None,None
731,1237779393424109568,World Health Organization (WHO),WHO,1728,"""I remind all countries that we are calling on you to (2):
-ready your hospitals
-protect and train your #healthworkers
-let’s all look out for each other""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240069,2020-03-11 16:36:18.000000,2771,"[{'text': 'healthworkers', 'indices': [105, 119]}, {'text': 'COVID19', 'indices': [166, 174]}, {'text': 'coronavirus', 'indices': [175, 187]}]",49323,,Twitter Web App,None,None,None
732,1237779391771443205,World Health Organization (WHO),WHO,2085,"""I remind all countries that we are calling on you to (1):
-activate &amp; scale up your emergency response mechanisms
-communicate with your people about the risks &amp; how they can protect themselves
-find, isolate, test &amp; treat every #COVID19 case &amp; trace every contact""-@DrTedros",2020-03-29 19:11:22.240073,2020-03-11 16:36:18.000000,3174,"[{'text': 'COVID19', 'indices': [242, 250]}]",49323,,Twitter Web App,None,None,None
733,1237778878761926661,World Health Organization (WHO),WHO,8652,"""Let me summarize it in 4⃣ key areas.

1⃣ Prepare and be ready.

2⃣ Detect, protect and treat.

3⃣ Reduce transmission.

4⃣ Innovate and learn""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240076,2020-03-11 16:34:16.000000,18514,"[{'text': 'COVID19', 'indices': [154, 162]}, {'text': 'coronavirus', 'indices': [163, 175]}]",49323,,Twitter Web App,None,None,None
734,1237778574603685897,World Health Organization (WHO),WHO,1005,"""I have said from the beginning that countries must take a whole-of-government, whole-of-society approach, built around a comprehensive strategy to prevent infections, save lives and minimize impact""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240079,2020-03-11 16:33:03.000000,1871,"[{'text': 'COVID19', 'indices': [210, 218]}, {'text': 'coronavirus', 'indices': [219, 231]}]",49323,,Twitter Web App,None,None,None
735,1237778490746945541,World Health Organization (WHO),WHO,1415,"""This is not just a public health crisis, it is a crisis that will touch every sector – so every sector and every individual must be involved in the fight""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240083,2020-03-11 16:32:43.000000,2234,"[{'text': 'COVID19', 'indices': [166, 174]}, {'text': 'coronavirus', 'indices': [175, 187]}]",49323,,Twitter Web App,None,None,None
736,1237778389261574144,World Health Organization (WHO),WHO,654,"""WHO’s mandate is public health. But we’re working with many partners across all sectors to mitigate the social and economic consequences of this #COVID19 pandemic""-@DrTedros #coronavirus",2020-03-29 19:11:22.240086,2020-03-11 16:32:19.000000,1432,"[{'text': 'COVID19', 'indices': [146, 154]}, {'text': 'coronavirus', 'indices': [175, 187]}]",49323,,Twitter Web App,None,None,None
737,1237778387688730627,World Health Organization (WHO),WHO,2461,"""All countries must strike a fine balance between protecting health, minimizing economic &amp; social disruption &amp; respecting human rights""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240089,2020-03-11 16:32:19.000000,4599,"[{'text': 'COVID19', 'indices': [154, 162]}, {'text': 'coronavirus', 'indices': [163, 175]}]",49323,,Twitter Web App,None,None,None
738,1237778149028638723,World Health Organization (WHO),WHO,1426,"""We are grateful for the measures being taken in 🇮🇷, 🇮🇹 and 🇰🇷 to slow the virus and control their #COVID19 epidemics. 

We know that these measures are taking a heavy toll on societies and economies, just as they did in 🇨🇳""-@DrTedros #coronavirus",2020-03-29 19:11:22.240092,2020-03-11 16:31:22.000000,3420,"[{'text': 'COVID19', 'indices': [99, 107]}, {'text': 'coronavirus', 'indices': [235, 247]}]",49323,,Twitter Web App,None,None,None
739,1237777935412736000,World Health Organization (WHO),WHO,2019,"“Some countries are struggling with a lack of capacity.
 
Some countries are struggling with a lack of resources.
 
Some countries are struggling with a lack of resolve.”-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240095,2020-03-11 16:30:31.000000,3824,"[{'text': 'COVID19', 'indices': [181, 189]}, {'text': 'coronavirus', 'indices': [190, 202]}]",49323,,Twitter Web App,None,None,None
740,1237777876759519232,World Health Organization (WHO),WHO,1285,“The challenge for many countries who are now dealing with large #COVID19 clusters or community transmission is not whether they can do the same – it’s whether they will”-@DrTedros #Coronavirus,2020-03-29 19:11:22.240098,2020-03-11 16:30:17.000000,2435,"[{'text': 'COVID19', 'indices': [65, 73]}, {'text': 'Coronavirus', 'indices': [181, 193]}]",49323,,Twitter Web App,None,None,None
741,1237777817913495557,World Health Organization (WHO),WHO,1361,"“Even those countries with community transmission or large clusters can turn the tide on this #coronavirus.
 
Several countries have demonstrated that this virus can be suppressed and controlled.”-@DrTedros #COVID19",2020-03-29 19:11:22.240102,2020-03-11 16:30:03.000000,2695,"[{'text': 'coronavirus', 'indices': [94, 106]}, {'text': 'COVID19', 'indices': [207, 215]}]",49323,,Twitter Web App,None,None,None
742,1237777750393597952,World Health Organization (WHO),WHO,4797,"""If countries detect, test, treat, isolate, trace, and mobilize their people in the response, those with a handful of #COVID19 cases can prevent those cases becoming clusters, and those clusters becoming community transmission""-@DrTedros #coronavirus",2020-03-29 19:11:22.240105,2020-03-11 16:29:47.000000,8351,"[{'text': 'COVID19', 'indices': [118, 126]}, {'text': 'coronavirus', 'indices': [238, 250]}]",49323,,Twitter Web App,None,None,None
743,1237777639785533442,World Health Organization (WHO),WHO,4829,"""81 countries have not reported any #COVID19 cases, and 57 countries have reported 10 cases or less.

We cannot say this loudly enough, or clearly enough, or often enough: all countries can still change the course of this pandemic""-@DrTedros #coronavirus",2020-03-29 19:11:22.240108,2020-03-11 16:29:20.000000,9212,"[{'text': 'COVID19', 'indices': [36, 44]}, {'text': 'coronavirus', 'indices': [242, 254]}]",49323,,Twitter Web App,None,None,None
744,1237777507304329216,World Health Organization (WHO),WHO,3335,"""Of the 118,000 #COVID19 cases reported globally in 114 countries, more than 90 percent of cases are in just four countries, and two of those – 🇨🇳 and 🇰🇷 - have significantly declining epidemics""-@DrTedros #coronavirus",2020-03-29 19:11:22.240112,2020-03-11 16:28:49.000000,6864,"[{'text': 'COVID19', 'indices': [16, 24]}, {'text': 'coronavirus', 'indices': [206, 218]}]",49323,,Twitter Web App,None,None,None
745,1237777413213487110,World Health Organization (WHO),WHO,826,"""As I said on Monday, just looking at the number of #COVID19 cases and the number of countries affected does not tell the full story""-@DrTedros #coronavirus",2020-03-29 19:11:22.240115,2020-03-11 16:28:26.000000,1877,"[{'text': 'COVID19', 'indices': [52, 60]}, {'text': 'coronavirus', 'indices': [144, 156]}]",49323,,Twitter Web App,None,None,None
746,1237777345987194880,World Health Organization (WHO),WHO,2275,"""We have called every day for countries to take urgent and aggressive action.

We have rung the alarm bell loud and clear""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240118,2020-03-11 16:28:10.000000,3818,"[{'text': 'COVID19', 'indices': [133, 141]}, {'text': 'coronavirus', 'indices': [142, 154]}]",49323,,Twitter Web App,None,None,None
747,1237777304656449538,World Health Organization (WHO),WHO,2170,"""We have never before seen a pandemic sparked by a #coronavirus. 

And we have never before seen a pandemic that can be controlled at the same time. 

WHO has been in full response mode since we were notified of the first cases""-@DrTedros #COVID19",2020-03-29 19:11:22.240121,2020-03-11 16:28:00.000000,3743,"[{'text': 'coronavirus', 'indices': [51, 63]}, {'text': 'COVID19', 'indices': [239, 247]}]",49323,,Twitter Web App,None,None,None
748,1237777176159817730,World Health Organization (WHO),WHO,3193,"""Describing the situation as a pandemic does not change WHO’s assessment of the threat posed by this #coronavirus. It doesn’t change what WHO is doing, and it doesn’t change what countries should do""-@DrTedros #COVID19",2020-03-29 19:11:22.240124,2020-03-11 16:27:30.000000,7073,"[{'text': 'coronavirus', 'indices': [101, 113]}, {'text': 'COVID19', 'indices': [210, 218]}]",49323,,Twitter Web App,None,None,None
749,1237777130773151754,World Health Organization (WHO),WHO,12510,"""Pandemic is not a word to use lightly or carelessly. It is a word that, if misused, can cause unreasonable fear, or unjustified acceptance that the fight is over, leading to unnecessary suffering and death""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:22.240127,2020-03-11 16:27:19.000000,29510,"[{'text': 'COVID19', 'indices': [218, 226]}, {'text': 'coronavirus', 'indices': [227, 239]}]",49323,,Twitter Web App,None,None,None
750,1237777021742338049,World Health Organization (WHO),WHO,58267,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A",2020-03-29 19:11:22.240131,2020-03-11 16:26:53.000000,59451,"[{'text': 'COVID19', 'indices': [58, 66]}, {'text': 'coronavirus', 'indices': [113, 125]}]",49323,,Twitter Web App,None,None,None
751,1237776967526764544,World Health Organization (WHO),WHO,2261,"""WHO has been assessing this outbreak around the clock and we are deeply concerned both by the alarming levels of spread and severity, and by the alarming levels of inaction""-@DrTedros #COVID19",2020-03-29 19:11:22.240134,2020-03-11 16:26:40.000000,3251,"[{'text': 'COVID19', 'indices': [185, 193]}]",49323,,Twitter Web App,None,None,None
752,1237776886647984128,World Health Organization (WHO),WHO,1057,"""Thousands more are fighting for their lives in hospitals.

In the days and weeks ahead, we expect to see the number of #COVID19 cases, the number of deaths, and the number of affected countries climb even higher""-@DrTedros #coronavirus",2020-03-29 19:11:22.240137,2020-03-11 16:26:21.000000,1531,"[{'text': 'COVID19', 'indices': [120, 128]}, {'text': 'coronavirus', 'indices': [224, 236]}]",49323,,Twitter Web App,None,None,None
753,1237776790157963267,World Health Organization (WHO),WHO,1587,"""In the past two weeks, the number of cases of #COVID19 outside 🇨🇳 has increased 13-fold &amp; the number of affected countries has tripled. 

There are now more than 118,000 cases in 114 countries, &amp; 4,291 people have lost their lives""-@DrTedros #coronavirus",2020-03-29 19:11:22.240140,2020-03-11 16:25:58.000000,2053,"[{'text': 'COVID19', 'indices': [47, 55]}, {'text': 'coronavirus', 'indices': [251, 263]}]",49323,,Twitter Web App,None,None,None
754,1237774421307228160,World Health Organization (WHO),WHO,8155,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,2020-03-29 19:11:22.240144,2020-03-11 16:16:33.000000,8911,"[{'text': 'COVID19', 'indices': [18, 26]}, {'text': 'coronavirus', 'indices': [43, 55]}]",49323,,Periscope,None,None,None
755,1237769639037411328,World Health Organization (WHO),WHO,111,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
👥Implement all-of-society resilience, repurpose government &amp; ready business continuity plans

More: https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/ZwS5xAvF9b",2020-03-29 19:11:22.240147,2020-03-11 15:57:33.000000,156,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [241, 253]}]",49323,,Twitter for iPhone,None,None,None
756,1237769278541254659,World Health Organization (WHO),WHO,96,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
👩🏽‍⚕️Retrain staff in infection prevention &amp; control, and clinical management for COVID-19
👩🏽‍⚕️Implement health facilities surge plans

#coronavirus https://t.co/iX6Egh9dQz",2020-03-29 19:11:22.240151,2020-03-11 15:56:07.000000,169,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [253, 265]}]",49323,,Twitter for iPhone,None,None,None
757,1237755234652487681,World Health Organization (WHO),WHO,141,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
😷Implement self-initiated isolation of people with mild respiratory symptoms to reduce the burden on health systems

#coronavirus https://t.co/CjD9A37tWa",2020-03-29 19:11:22.240154,2020-03-11 15:00:18.000000,237,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [229, 241]}]",49323,,Twitter for iPhone,None,None,None
759,1237743086647881728,World Health Organization (WHO),WHO,115,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES to end community outbreaks, slow and stop transmission:
😷Prioritize care &amp; activate triage procedures. Scale up surge plans for health facilities

More: https://t.co/4QQ7VcQPe4 

#coronavirus https://t.co/7nxWCKNllV",2020-03-29 19:11:22.240169,2020-03-11 14:12:02.000000,184,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [238, 250]}]",49323,,Twitter for iPhone,None,None,None
760,1237737614289121281,World Health Organization (WHO),WHO,93,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
🔬If testing capacity is overwhelmed prioritize testing in health care settings &amp; vulnerable groups

More: https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/qxJoKNl1o2",2020-03-29 19:11:22.240173,2020-03-11 13:50:17.000000,161,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [247, 259]}]",49323,,Twitter for iPhone,None,None,None
761,1237736636689141761,World Health Organization (WHO),WHO,83,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
🔬Test suspect cases per WHO case definition &amp; symptomatic contacts of probable/confirmed cases; test patients identified thru respiratory disease surv. https://t.co/EkvSr0sITq",2020-03-29 19:11:22.240177,2020-03-11 13:46:24.000000,166,"[{'text': 'COVID19', 'indices': [40, 48]}]",49323,,Twitter for iPhone,None,None,None
762,1237733104812535808,World Health Organization (WHO),WHO,87,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
✅Promote hand hygiene, respiratory etiquette, social distancing

More: https://t.co/4QQ7VcQPe4 

#coronavirus https://t.co/TFP1CL0gUw",2020-03-29 19:11:22.240180,2020-03-11 13:32:22.000000,134,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [209, 221]}]",49323,,Twitter for iPhone,None,None,None
763,1237732214831484929,World Health Organization (WHO),WHO,84,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
🗒 Apply self-initiated isolation for symptomatic individuals
🔍Adapt existing surveillance systems to monitor disease activity

#coronavirus https://t.co/xVnlNL8QCf",2020-03-29 19:11:22.240183,2020-03-11 13:28:50.000000,130,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [239, 251]}]",49323,,Twitter for iPhone,None,None,None
764,1237722630519693312,World Health Organization (WHO),WHO,82,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
🗒 Continue contact tracing where possible, esp. in newly infected areas, quarantine of contacts, &amp; isolation of cases

More: https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/mx7BICvK4b",2020-03-29 19:11:22.240187,2020-03-11 12:50:45.000000,142,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [266, 278]}]",49323,,Twitter for iPhone,None,None,None
765,1237721991471382528,World Health Organization (WHO),WHO,34727,"These are 7 simple steps to protect yourself and others from #COVID19.

 👉 https://t.co/RU2gRs6jmc #coronavirus https://t.co/TNAw5YrP0u",2020-03-29 19:11:22.240190,2020-03-11 12:48:13.000000,41037,"[{'text': 'COVID19', 'indices': [61, 69]}, {'text': 'coronavirus', 'indices': [99, 111]}]",49323,,Twitter for iPhone,None,None,None
766,1237712504568111104,World Health Organization (WHO),WHO,146,"When there is COMMUNITY TRANSMISSION OF #COVID19 CASES, to end community outbreaks, slow and stop transmission:
🚨 Scale up emergency response mechanisms
📢 Educate &amp; actively communicate with the public

More: https://t.co/4QQ7VcQPe4 #coronavirus https://t.co/ERAK1aNPkF",2020-03-29 19:11:22.240196,2020-03-11 12:10:31.000000,228,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'coronavirus', 'indices': [237, 249]}]",49323,,Twitter for iPhone,None,None,None
769,1237664804573253632,World Health Organization (WHO),WHO,614,"Q: How should I greet another person to avoid catching the new #coronavirus?

👉🏽https://t.co/94zZioMvuA… 

#KnowtheFacts #COVID19 https://t.co/qFPkqGqGKQ",2020-03-29 19:11:22.240206,2020-03-11 09:00:58.000000,997,"[{'text': 'coronavirus', 'indices': [63, 75]}, {'text': 'KnowtheFacts', 'indices': [107, 120]}, {'text': 'COVID19', 'indices': [121, 129]}]",49323,,Twitter for iPhone,None,None,None
770,1237639225580957699,World Health Organization (WHO),WHO,616,"Q: Should I avoid shaking hands because of the new #coronavirus?

👉🏽https://t.co/94zZioMvuA… 

#KnowtheFacts #COVID19 https://t.co/9AZcoZSDIZ",2020-03-29 19:11:22.240209,2020-03-11 07:19:20.000000,841,"[{'text': 'coronavirus', 'indices': [51, 63]}, {'text': 'KnowtheFacts', 'indices': [95, 108]}, {'text': 'COVID19', 'indices': [109, 117]}]",49323,,Twitter for iPhone,None,None,None
777,1237454227372494848,World Health Organization (WHO),WHO,166,"When there are CLUSTERS OF #COVID19 cases, to stop transmission &amp; prevent spread:
👥Implement all-of-society resilience, repurpose government, business continuity &amp; community services plans.

More: https://t.co/4QQ7VcQPe4 

#coronavirus https://t.co/SnNavtZTzo",2020-03-29 19:11:22.240234,2020-03-10 19:04:13.000000,263,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [231, 243]}]",49323,,Twitter for iPhone,None,None,None
778,1237453128326352897,World Health Organization (WHO),WHO,102,"When there is CLUSTERS OF #COVID19 cases, to stop transmission &amp; prevent spread:
👩🏻‍⚕️ Advocate for home care for mild cases, if health care systems are overwhelmed; identify referral systems for high risk groups.

More: https://t.co/4QQ7VcQPe4 

#coronavirus https://t.co/kF5pp7tewf",2020-03-29 19:11:22.240238,2020-03-10 18:59:51.000000,179,"[{'text': 'COVID19', 'indices': [26, 34]}, {'text': 'coronavirus', 'indices': [251, 263]}]",49323,,Twitter for iPhone,None,None,None
779,1237452227960242177,World Health Organization (WHO),WHO,79,"When there is CLUSTERS OF #COVID19 cases, to stop transmission &amp; prevent spread:
👩‍⚕Train staff in infection prevention &amp; control, and clinical management for COVID-19.

More: https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/EpkV8FlgAo",2020-03-29 19:11:22.240241,2020-03-10 18:56:16.000000,124,"[{'text': 'COVID19', 'indices': [26, 34]}, {'text': 'coronavirus', 'indices': [209, 221]}]",49323,,Twitter for iPhone,None,None,None
780,1237429962988310528,World Health Organization (WHO),WHO,544,"WHO, @UNICEF, @ifrc guidance for schools, teachers, parents and caregivers for the prevention and control of #COVID19 

🧒🏻👩🏽‍🏫👩🏽‍🎓https://t.co/yXBwElhNdw

#coronavirus https://t.co/zNoVL3hlfN",2020-03-29 19:11:22.240247,2020-03-10 17:27:48.000000,830,"[{'text': 'COVID19', 'indices': [109, 117]}, {'text': 'coronavirus', 'indices': [155, 167]}]",49323,,Twitter Web App,None,None,None
